non-terminal    , endLine , funDecl , id      , main    , paramBeg , paramEnd , commaSep , typeInt , typeFloat , typeBool , typeChar , typeString , typeEmpty , typeNull , arrayBeg , arrayEnd , blockBeg , blockEnd , varDecl , opAssign , constNumInt , constNumFloat , constBool , constChar , constString , cmdPrint , cmdRead , opConcat , cmdIf   , cmdElif , cmdElse , cmdWhile , cmdRepeat , cmdIn , cmdReturn , opOr    , opAnd   , opEquals , opRel   , opAditiv , opMult  , opUnaryNeg , EOF
RETURN          ,         ,         ,         ,         ,          ,          ,          ,         ,           ,          ,          ,            ,           ,          ,          ,          ,          ,          ,         ,          ,             ,               ,           ,           ,             ,          ,         ,          ,         ,         ,         ,          ,           ,       , d82       ,         ,         ,          ,         ,          ,         ,            ,
RETURNfat       ,         ,         , d84     ,         ,          ,          ,          ,         ,           ,          ,          ,            ,           ,          ,          ,          ,          ,          ,         ,          , d83         , d83           , d83       , d83       , d83         ,          ,         ,          ,         ,         ,         ,          ,           ,       ,           ,         ,         ,          ,         ,          ,         ,            ,
EXPR            ,         ,         , d85     ,         , d85      ,          ,          ,         ,           ,          ,          ,            ,           ,          ,          ,          ,          ,          ,         ,          , d85         , d85           , d85       , d85       , d85         ,          ,         ,          ,         ,         ,         ,          ,           ,       ,           ,         ,         ,          ,         ,          ,         , d85        ,
EXPROR          ,         ,         , d86     ,         , d86      ,          ,          ,         ,           ,          ,          ,            ,           ,          ,          ,          ,          ,          ,         ,          , d86         , d86           , d86       , d86       , d86         ,          ,         ,          ,         ,         ,         ,          ,           ,       ,           ,         ,         ,          ,         ,          ,         , d86        ,
EXPRORr         , epsilon ,         , epsilon ,         ,          , epsilon  , epsilon  ,         ,           ,          ,          ,            ,           ,          ,          , epsilon  ,          , epsilon  , epsilon ,          ,             ,               ,           ,           ,             , epsilon  , epsilon ,          , epsilon ,         ,         , epsilon  , epsilon   ,       , epsilon   , d87     ,         ,          ,         ,          ,         ,            ,
EXPRAND         ,         ,         , d89     ,         , d89      ,          ,          ,         ,           ,          ,          ,            ,           ,          ,          ,          ,          ,          ,         ,          , d89         , d89           , d89       , d89       , d89         ,          ,         ,          ,         ,         ,         ,          ,           ,       ,           ,         ,         ,          ,         ,          ,         , d89        ,
EXPRANDr        , epsilon ,         , epsilon ,         ,          , epsilon  , epsilon  ,         ,           ,          ,          ,            ,           ,          ,          , epsilon  ,          , epsilon  , epsilon ,          ,             ,               ,           ,           ,             , epsilon  , epsilon ,          , epsilon ,         ,         , epsilon  , epsilon   ,       , epsilon   , epsilon , d90     ,          ,         ,          ,         ,            ,
EXPREQUALS      ,         ,         , d92     ,         , d92      ,          ,          ,         ,           ,          ,          ,            ,           ,          ,          ,          ,          ,          ,         ,          , d92         , d92           , d92       , d92       , d92         ,          ,         ,          ,         ,         ,         ,          ,           ,       ,           ,         ,         ,          ,         ,          ,         , d92        ,
EXPREQUALSr     , epsilon ,         , epsilon ,         ,          , epsilon  , epsilon  ,         ,           ,          ,          ,            ,           ,          ,          , epsilon  ,          , epsilon  , epsilon ,          ,             ,               ,           ,           ,             , epsilon  , epsilon ,          , epsilon ,         ,         , epsilon  , epsilon   ,       , epsilon   , epsilon , epsilon , d93      ,         ,          ,         ,            ,
EXPRREL         ,         ,         , d95     ,         , d95      ,          ,          ,         ,           ,          ,          ,            ,           ,          ,          ,          ,          ,          ,         ,          , d95         , d95           , d95       , d95       , d95         ,          ,         ,          ,         ,         ,         ,          ,           ,       ,           ,         ,         ,          ,         ,          ,         , d95        ,
EXPRRELr        , epsilon ,         , epsilon ,         ,          , epsilon  , epsilon  ,         ,           ,          ,          ,            ,           ,          ,          , epsilon  ,          , epsilon  , epsilon ,          ,             ,               ,           ,           ,             , epsilon  , epsilon ,          , epsilon ,         ,         , epsilon  , epsilon   ,       , epsilon   , epsilon , epsilon , epsilon  , d96     ,          ,         ,            ,
EXPRADD         ,         ,         , d98     ,         , d98      ,          ,          ,         ,           ,          ,          ,            ,           ,          ,          ,          ,          ,          ,         ,          , d98         , d98           , d98       , d98       , d98         ,          ,         ,          ,         ,         ,         ,          ,           ,       ,           ,         ,         ,          ,         ,          ,         , d98        ,
EXPRADDr        , epsilon ,         , epsilon ,         ,          , epsilon  , epsilon  ,         ,           ,          ,          ,            ,           ,          ,          , epsilon  ,          , epsilon  , epsilon ,          ,             ,               ,           ,           ,             , epsilon  , epsilon ,          , epsilon ,         ,         , epsilon  , epsilon   ,       , epsilon   , epsilon , epsilon , epsilon  , epsilon , d99      ,         ,            ,
EXPRAMULT       ,         ,         , d101    ,         , d101     ,          ,          ,         ,           ,          ,          ,            ,           ,          ,          ,          ,          ,          ,         ,          , d101        , d101          , d101      , d101      , d101        ,          ,         ,          ,         ,         ,         ,          ,           ,       ,           ,         ,         ,          ,         ,          ,         , d101       ,
EXPRAMULTr      , epsilon ,         , epsilon ,         ,          , epsilon  , epsilon  ,         ,           ,          ,          ,            ,           ,          ,          , epsilon  ,          , epsilon  , epsilon ,          ,             ,               ,           ,           ,             , epsilon  , epsilon ,          , epsilon ,         ,         , epsilon  , epsilon   ,       , epsilon   , epsilon , epsilon , epsilon  , epsilon , epsilon  , d102    ,            ,
EXPRUN          ,         ,         , d105    ,         , d105     ,          ,          ,         ,           ,          ,          ,            ,           ,          ,          ,          ,          ,          ,         ,          , d105        , d105          , d105      , d105      , d105        ,          ,         ,          ,         ,         ,         ,          ,           ,       ,           ,         ,         ,          ,         ,          ,         , d104       ,
EXPRPARAM       ,         ,         , d107    ,         , d106     ,          ,          ,         ,           ,          ,          ,            ,           ,          ,          ,          ,          ,          ,         ,          , d107        , d107          , d107      , d107      , d107        ,          ,         ,          ,         ,         ,         ,          ,           ,       ,           ,         ,         ,          ,         ,          ,         ,            ,
EXPRVALUES      ,         ,         , d113    ,         ,          ,          ,          ,         ,           ,          ,          ,            ,           ,          ,          ,          ,          ,          ,         ,          , d108        , d109          , d110      , d111      , d112        ,          ,         ,          ,         ,         ,         ,          ,           ,       ,           ,         ,         ,          ,         ,          ,         ,            ,
EXPRVALUESfat   , epsilon ,         , epsilon ,         , d115     , epsilon  , epsilon  ,         ,           ,          ,          ,            ,           ,          , d114     , epsilon  ,          , epsilon  , epsilon ,          ,             ,               ,           ,           ,             , epsilon  , epsilon ,          , epsilon ,         ,         , epsilon  , epsilon   ,       , epsilon   , epsilon , epsilon , epsilon  , epsilon , epsilon  , epsilon ,            ,
