non-terminal      , funDecl , id      , main    , paramBeg , paramEnd , commaSep , typeInt , typeFloat , typeBool , typeChar , typeString , typeEmpty , typeNull , arrayBeg , arrayEnd , blockBeg , blockEnd , endLine , varDecl , opAssign , constNumInt , constNumFloat , constBool , constChar , constString , cmdPrint , opConcat , cmdRead , cmdIf   , cmdElif , cmdElse , cmdWhile , cmdRepeat , cmdIn , cmdReturn , opAnd   , opOr    , opEquals , opRel   , opAditiv , opMult , opUnaryNeg , EOF
BLOCK             ,         ,         ,         ,          ,          ,          ,         ,           ,          ,          ,            ,           ,          ,          ,          , d24      ,          ,         ,         ,          ,             ,               ,           ,           ,             ,          ,          ,         ,         ,         ,         ,          ,           ,       ,           ,         ,         ,          ,         ,          ,        ,            ,
CMDS              ,         , d25     ,         ,          ,          ,          ,         ,           ,          ,          ,            ,           ,          ,          ,          ,          , epsilon  ,         , d25     ,          ,             ,               ,           ,           ,             , d25      ,          , d25     , d25     ,         ,         , d25      , d25       ,       , d25       ,         ,         ,          ,         ,          ,        ,            ,
CMD               ,         , d28     ,         ,          ,          ,          ,         ,           ,          ,          ,            ,           ,          ,          ,          ,          ,          ,         , d27     ,          ,             ,               ,           ,           ,             , d29      ,          , d30     , d31     ,         ,         , d32      , d33       ,       , d34       ,         ,         ,          ,         ,          ,        ,            ,
CMDFAT            ,         ,         ,         , d37      ,          ,          ,         ,           ,          ,          ,            ,           ,          , d35      ,          ,          ,          , epsilon ,         , d36      ,             ,               ,           ,           ,             ,          ,          ,         ,         ,         ,         ,          ,           ,       ,           ,         ,         ,          ,         ,          ,        ,            ,
DECL              ,         ,         ,         ,          ,          ,          ,         ,           ,          ,          ,            ,           ,          ,          ,          ,          ,          ,         , d39     ,          ,             ,               ,           ,           ,             ,          ,          ,         ,         ,         ,         ,          ,           ,       ,           ,         ,         ,          ,         ,          ,        ,            ,
ASSG              ,         ,         ,         ,          ,          ,          ,         ,           ,          ,          ,            ,           ,          ,          ,          ,          ,          ,         ,         , d40      ,             ,               ,           ,           ,             ,          ,          ,         ,         ,         ,         ,          ,           ,       ,           ,         ,         ,          ,         ,          ,        ,            ,
VALUE             ,         , d42     ,         , d42      ,          ,          ,         ,           ,          ,          ,            ,           ,          , d41      ,          ,          ,          , d42     ,         , d42      , d42         , d42           , d42       , d42       , d42         ,          ,          ,         ,         ,         ,         ,          ,           ,       ,           ,         ,         ,          ,         ,          ,        , d42        ,
ARRAY             ,         ,         ,         ,          ,          ,          ,         ,           ,          ,          ,            ,           ,          , d43      ,          ,          ,          ,         ,         ,          ,             ,               ,           ,           ,             ,          ,          ,         ,         ,         ,         ,          ,           ,       ,           ,         ,         ,          ,         ,          ,        ,            ,
ARRAYFAT          ,         , d44     ,         , d44      ,          , d44      ,         ,           ,          ,          ,            ,           ,          ,          , d44      ,          ,          , d44     ,         , d44      , d44         , d44           , d44       , d44       , d44         ,          ,          ,         ,         ,         ,         ,          ,           ,       ,           ,         ,         ,          ,         ,          ,        , d44        ,
ELEMENTS          ,         , d45     ,         , d45      ,          , d45      ,         ,           ,          ,          ,            ,           ,          ,          , d45      ,          ,          ,         ,         , d45      , d45         , d45           , d45       , d45       , d45         ,          ,          ,         ,         ,         ,         ,          ,           ,       ,           ,         ,         ,          ,         ,          ,        , d45        ,
ELEMENTSFAT       ,         ,         ,         ,          ,          , d46      ,         ,           ,          ,          ,            ,           ,          ,          , epsilon  ,          ,          ,         ,         ,          ,             ,               ,           ,           ,             ,          ,          ,         ,         ,         ,         ,          ,           ,       ,           ,         ,         ,          ,         ,          ,        ,            ,
CONSTANT          ,         ,         ,         ,          ,          ,          ,         ,           ,          ,          ,            ,           ,          ,          ,          ,          ,          ,         ,         ,          , d48         , d49           , d50       , d51       , d52         ,          ,          ,         ,         ,         ,         ,          ,           ,       ,           ,         ,         ,          ,         ,          ,        ,            ,
FUNCCALL          ,         ,         ,         , d53      ,          ,          ,         ,           ,          ,          ,            ,           ,          ,          ,          ,          ,          ,         ,         ,          ,             ,               ,           ,           ,             ,          ,          ,         ,         ,         ,         ,          ,           ,       ,           ,         ,         ,          ,         ,          ,        ,            ,
LISTPARAMSCALL    ,         , d54     ,         ,          ,          ,          ,         ,           ,          ,          ,            ,           ,          ,          ,          ,          ,          ,         ,         ,          , d54         , d54           , d54       , d54       , d54         ,          ,          ,         ,         ,         ,         ,          ,           ,       ,           ,         ,         ,          ,         ,          ,        ,            ,
LISTPARAMSCALLFAT ,         ,         ,         ,          , epsilon  , d55      ,         ,           ,          ,          ,            ,           ,          ,          ,          ,          ,          ,         ,         ,          ,             ,               ,           ,           ,             ,          ,          ,         ,         ,         ,         ,          ,           ,       ,           ,         ,         ,          ,         ,          ,        ,            ,
PARAMITEM         ,         , d58     ,         ,          ,          ,          ,         ,           ,          ,          ,            ,           ,          ,          ,          ,          ,          ,         ,         ,          , d57         , d57           , d57       , d57       , d57         ,          ,          ,         ,         ,         ,         ,          ,           ,       ,           ,         ,         ,          ,         ,          ,        ,            ,
PARAMITEMFAT      ,         ,         ,         , d59      , epsilon  , epsilon  ,         ,           ,          ,          ,            ,           ,          ,          ,          ,          ,          ,         ,         ,          ,             ,               ,           ,           ,             ,          ,          ,         ,         ,         ,         ,          ,           ,       ,           ,         ,         ,          ,         ,          ,        ,            ,
PRINT             ,         ,         ,         ,          ,          ,          ,         ,           ,          ,          ,            ,           ,          ,          ,          ,          ,          ,         ,         ,          ,             ,               ,           ,           ,             , d61      ,          ,         ,         ,         ,         ,          ,           ,       ,           ,         ,         ,          ,         ,          ,        ,            ,
